tag,boundary_mode,observer_mode,seed,metrics_path
seed'0'_zero_off_tracked,zero,off_tracked,'0',outputs\20251217_111311_seed'0'_zero_off_tracked\metrics.csv
seed'0'_zero_passive_nopersist,zero,passive_nopersist,'0',outputs\20251217_111311_seed'0'_zero_passive_nopersist\metrics.csv
seed'0'_zero_passive_persist,zero,passive_persist,'0',outputs\20251217_111311_seed'0'_zero_passive_persist\metrics.csv
seed'0'_zero_active_persist,zero,active_persist,'0',outputs\20251217_111311_seed'0'_zero_active_persist\metrics.csv
seed'0'_wrap_off_tracked,wrap,off_tracked,'0',outputs\20251217_111311_seed'0'_wrap_off_tracked\metrics.csv
seed'0'_wrap_passive_nopersist,wrap,passive_nopersist,'0',outputs\20251217_111311_seed'0'_wrap_passive_nopersist\metrics.csv
seed'0'_wrap_passive_persist,wrap,passive_persist,'0',outputs\20251217_111311_seed'0'_wrap_passive_persist\metrics.csv
seed'0'_wrap_active_persist,wrap,active_persist,'0',outputs\20251217_111311_seed'0'_wrap_active_persist\metrics.csv
seed1_zero_off_tracked,zero,off_tracked,1,outputs\20251217_110925_seed1_zero_off_tracked\metrics.csv
seed0_zero_passive_persist,zero,passive_persist,0,outputs\20251217_110015_seed0_zero_passive_persist\metrics.csv
seed1_zero_passive_nopersist,zero,passive_nopersist,1,outputs\20251217_110925_seed1_zero_passive_nopersist\metrics.csv
seed0_zero_active_persist,zero,active_persist,0,outputs\20251217_110015_seed0_zero_active_persist\metrics.csv
seed0_wrap_off_tracked,wrap,off_tracked,0,outputs\20251217_110015_seed0_wrap_off_tracked\metrics.csv
seed1_zero_passive_persist,zero,passive_persist,1,outputs\20251217_110925_seed1_zero_passive_persist\metrics.csv
seed0_wrap_passive_nopersist,wrap,passive_nopersist,0,outputs\20251217_110015_seed0_wrap_passive_nopersist\metrics.csv
seed1_zero_active_persist,zero,active_persist,1,outputs\20251217_110925_seed1_zero_active_persist\metrics.csv
seed1_wrap_off_tracked,wrap,off_tracked,1,outputs\20251217_110925_seed1_wrap_off_tracked\metrics.csv
seed0_wrap_passive_persist,wrap,passive_persist,0,outputs\20251217_110015_seed0_wrap_passive_persist\metrics.csv
seed1_wrap_passive_nopersist,wrap,passive_nopersist,1,outputs\20251217_110925_seed1_wrap_passive_nopersist\metrics.csv
seed0_wrap_active_persist,wrap,active_persist,0,outputs\20251217_110015_seed0_wrap_active_persist\metrics.csv
seed1_zero_off_tracked,zero,off_tracked,1,outputs\20251217_110015_seed1_zero_off_tracked\metrics.csv
seed1_wrap_passive_persist,wrap,passive_persist,1,outputs\20251217_110925_seed1_wrap_passive_persist\metrics.csv
seed1_zero_passive_nopersist,zero,passive_nopersist,1,outputs\20251217_110015_seed1_zero_passive_nopersist\metrics.csv
seed1_wrap_active_persist,wrap,active_persist,1,outputs\20251217_110925_seed1_wrap_active_persist\metrics.csv
seed2'_zero_off_tracked,zero,off_tracked,2',outputs\20251217_110925_seed2'_zero_off_tracked\metrics.csv
seed2'_zero_passive_nopersist,zero,passive_nopersist,2',outputs\20251217_110925_seed2'_zero_passive_nopersist\metrics.csv
seed2'_zero_passive_persist,zero,passive_persist,2',outputs\20251217_110925_seed2'_zero_passive_persist\metrics.csv
seed2'_zero_active_persist,zero,active_persist,2',outputs\20251217_110925_seed2'_zero_active_persist\metrics.csv
seed2'_wrap_off_tracked,wrap,off_tracked,2',outputs\20251217_110925_seed2'_wrap_off_tracked\metrics.csv
seed2'_wrap_passive_nopersist,wrap,passive_nopersist,2',outputs\20251217_110925_seed2'_wrap_passive_nopersist\metrics.csv
seed2'_wrap_passive_persist,wrap,passive_persist,2',outputs\20251217_110925_seed2'_wrap_passive_persist\metrics.csv
seed2'_wrap_active_persist,wrap,active_persist,2',outputs\20251217_110925_seed2'_wrap_active_persist\metrics.csv
seed1_zero_passive_persist,zero,passive_persist,1,outputs\20251217_110015_seed1_zero_passive_persist\metrics.csv
seed1_zero_active_persist,zero,active_persist,1,outputs\20251217_110015_seed1_zero_active_persist\metrics.csv
seed1_wrap_off_tracked,wrap,off_tracked,1,outputs\20251217_110015_seed1_wrap_off_tracked\metrics.csv
seed1_wrap_passive_nopersist,wrap,passive_nopersist,1,outputs\20251217_110015_seed1_wrap_passive_nopersist\metrics.csv
seed1_wrap_passive_persist,wrap,passive_persist,1,outputs\20251217_110015_seed1_wrap_passive_persist\metrics.csv
seed1_wrap_active_persist,wrap,active_persist,1,outputs\20251217_110015_seed1_wrap_active_persist\metrics.csv
seed2_zero_off_tracked,zero,off_tracked,2,outputs\20251217_110015_seed2_zero_off_tracked\metrics.csv
seed2_zero_passive_nopersist,zero,passive_nopersist,2,outputs\20251217_110015_seed2_zero_passive_nopersist\metrics.csv
seed2_zero_passive_persist,zero,passive_persist,2,outputs\20251217_110015_seed2_zero_passive_persist\metrics.csv
seed2_zero_active_persist,zero,active_persist,2,outputs\20251217_110015_seed2_zero_active_persist\metrics.csv
seed2_wrap_off_tracked,wrap,off_tracked,2,outputs\20251217_110015_seed2_wrap_off_tracked\metrics.csv
seed2_wrap_passive_nopersist,wrap,passive_nopersist,2,outputs\20251217_110015_seed2_wrap_passive_nopersist\metrics.csv
seed2_wrap_passive_persist,wrap,passive_persist,2,outputs\20251217_110015_seed2_wrap_passive_persist\metrics.csv
seed2_wrap_active_persist,wrap,active_persist,2,outputs\20251217_110015_seed2_wrap_active_persist\metrics.csv
seed3_zero_off_tracked,zero,off_tracked,3,outputs\20251217_110015_seed3_zero_off_tracked\metrics.csv
seed3_zero_passive_nopersist,zero,passive_nopersist,3,outputs\20251217_110015_seed3_zero_passive_nopersist\metrics.csv
seed3_zero_passive_persist,zero,passive_persist,3,outputs\20251217_110015_seed3_zero_passive_persist\metrics.csv
seed3_zero_active_persist,zero,active_persist,3,outputs\20251217_110015_seed3_zero_active_persist\metrics.csv
seed3_wrap_off_tracked,wrap,off_tracked,3,outputs\20251217_110015_seed3_wrap_off_tracked\metrics.csv
seed3_wrap_passive_nopersist,wrap,passive_nopersist,3,outputs\20251217_110015_seed3_wrap_passive_nopersist\metrics.csv
seed3_wrap_passive_persist,wrap,passive_persist,3,outputs\20251217_110015_seed3_wrap_passive_persist\metrics.csv
seed3_wrap_active_persist,wrap,active_persist,3,outputs\20251217_110015_seed3_wrap_active_persist\metrics.csv
seed4_zero_off_tracked,zero,off_tracked,4,outputs\20251217_110015_seed4_zero_off_tracked\metrics.csv
seed4_zero_passive_nopersist,zero,passive_nopersist,4,outputs\20251217_110015_seed4_zero_passive_nopersist\metrics.csv
seed4_zero_passive_persist,zero,passive_persist,4,outputs\20251217_110015_seed4_zero_passive_persist\metrics.csv
seed4_zero_active_persist,zero,active_persist,4,outputs\20251217_110015_seed4_zero_active_persist\metrics.csv
seed4_wrap_off_tracked,wrap,off_tracked,4,outputs\20251217_110015_seed4_wrap_off_tracked\metrics.csv
seed4_wrap_passive_nopersist,wrap,passive_nopersist,4,outputs\20251217_110015_seed4_wrap_passive_nopersist\metrics.csv
seed4_wrap_passive_persist,wrap,passive_persist,4,outputs\20251217_110015_seed4_wrap_passive_persist\metrics.csv
seed4_wrap_active_persist,wrap,active_persist,4,outputs\20251217_110015_seed4_wrap_active_persist\metrics.csv
seed5_zero_off_tracked,zero,off_tracked,5,outputs\20251217_110015_seed5_zero_off_tracked\metrics.csv
seed5_zero_passive_nopersist,zero,passive_nopersist,5,outputs\20251217_110015_seed5_zero_passive_nopersist\metrics.csv
seed5_zero_passive_persist,zero,passive_persist,5,outputs\20251217_110015_seed5_zero_passive_persist\metrics.csv
seed5_zero_active_persist,zero,active_persist,5,outputs\20251217_110015_seed5_zero_active_persist\metrics.csv
seed5_wrap_off_tracked,wrap,off_tracked,5,outputs\20251217_110015_seed5_wrap_off_tracked\metrics.csv
seed5_wrap_passive_nopersist,wrap,passive_nopersist,5,outputs\20251217_110015_seed5_wrap_passive_nopersist\metrics.csv
seed5_wrap_passive_persist,wrap,passive_persist,5,outputs\20251217_110015_seed5_wrap_passive_persist\metrics.csv
seed5_wrap_active_persist,wrap,active_persist,5,outputs\20251217_110015_seed5_wrap_active_persist\metrics.csv
seed6_zero_off_tracked,zero,off_tracked,6,outputs\20251217_110015_seed6_zero_off_tracked\metrics.csv
seed6_zero_passive_nopersist,zero,passive_nopersist,6,outputs\20251217_110015_seed6_zero_passive_nopersist\metrics.csv
seed6_zero_passive_persist,zero,passive_persist,6,outputs\20251217_110015_seed6_zero_passive_persist\metrics.csv
seed6_zero_active_persist,zero,active_persist,6,outputs\20251217_110015_seed6_zero_active_persist\metrics.csv
seed6_wrap_off_tracked,wrap,off_tracked,6,outputs\20251217_110015_seed6_wrap_off_tracked\metrics.csv
seed6_wrap_passive_nopersist,wrap,passive_nopersist,6,outputs\20251217_110015_seed6_wrap_passive_nopersist\metrics.csv
seed6_wrap_passive_persist,wrap,passive_persist,6,outputs\20251217_110015_seed6_wrap_passive_persist\metrics.csv
seed6_wrap_active_persist,wrap,active_persist,6,outputs\20251217_110015_seed6_wrap_active_persist\metrics.csv
seed7_zero_off_tracked,zero,off_tracked,7,outputs\20251217_110015_seed7_zero_off_tracked\metrics.csv
seed7_zero_passive_nopersist,zero,passive_nopersist,7,outputs\20251217_110015_seed7_zero_passive_nopersist\metrics.csv
seed7_zero_passive_persist,zero,passive_persist,7,outputs\20251217_110015_seed7_zero_passive_persist\metrics.csv
seed7_zero_active_persist,zero,active_persist,7,outputs\20251217_110015_seed7_zero_active_persist\metrics.csv
seed7_wrap_off_tracked,wrap,off_tracked,7,outputs\20251217_110015_seed7_wrap_off_tracked\metrics.csv
seed7_wrap_passive_nopersist,wrap,passive_nopersist,7,outputs\20251217_110015_seed7_wrap_passive_nopersist\metrics.csv
seed7_wrap_passive_persist,wrap,passive_persist,7,outputs\20251217_110015_seed7_wrap_passive_persist\metrics.csv
seed7_wrap_active_persist,wrap,active_persist,7,outputs\20251217_110015_seed7_wrap_active_persist\metrics.csv
seed8_zero_off_tracked,zero,off_tracked,8,outputs\20251217_110015_seed8_zero_off_tracked\metrics.csv
