# Sweep Manifest - 500 expected runs (2 boundaries Ã— 5 modes Ã— 50 seeds)
# Format: boundary,mode,seed,status,path

zero,object_off_tracked,0,OK,outputs_sweep50\object_off_tracked_zero_seed0\metrics.csv
zero,passive_nopersist,0,OK,outputs_sweep50\passive_nopersist_zero_seed0\metrics.csv
zero,passive_persist,0,OK,outputs_sweep50\passive_persist_zero_seed0\metrics.csv
zero,active_persist,0,OK,outputs_sweep50\active_persist_zero_seed0\metrics.csv
zero,active_random,0,OK,outputs_sweep50\active_random_zero_seed0\metrics.csv
wrap,object_off_tracked,0,OK,outputs_sweep50\object_off_tracked_wrap_seed0\metrics.csv
wrap,passive_nopersist,0,OK,outputs_sweep50\passive_nopersist_wrap_seed0\metrics.csv
wrap,passive_persist,0,OK,outputs_sweep50\passive_persist_wrap_seed0\metrics.csv
wrap,active_persist,0,OK,outputs_sweep50\active_persist_wrap_seed0\metrics.csv
wrap,active_random,0,OK,outputs_sweep50\active_random_wrap_seed0\metrics.csv
zero,object_off_tracked,1,OK,outputs_sweep50\object_off_tracked_zero_seed1\metrics.csv
zero,passive_nopersist,1,OK,outputs_sweep50\passive_nopersist_zero_seed1\metrics.csv
zero,passive_persist,1,OK,outputs_sweep50\passive_persist_zero_seed1\metrics.csv
zero,active_persist,1,OK,outputs_sweep50\active_persist_zero_seed1\metrics.csv
zero,active_random,1,OK,outputs_sweep50\active_random_zero_seed1\metrics.csv
wrap,object_off_tracked,1,OK,outputs_sweep50\object_off_tracked_wrap_seed1\metrics.csv
wrap,passive_nopersist,1,OK,outputs_sweep50\passive_nopersist_wrap_seed1\metrics.csv
wrap,passive_persist,1,OK,outputs_sweep50\passive_persist_wrap_seed1\metrics.csv
wrap,active_persist,1,OK,outputs_sweep50\active_persist_wrap_seed1\metrics.csv
wrap,active_random,1,OK,outputs_sweep50\active_random_wrap_seed1\metrics.csv
zero,object_off_tracked,2,OK,outputs_sweep50\object_off_tracked_zero_seed2\metrics.csv
zero,passive_nopersist,2,OK,outputs_sweep50\passive_nopersist_zero_seed2\metrics.csv
zero,passive_persist,2,OK,outputs_sweep50\passive_persist_zero_seed2\metrics.csv
zero,active_persist,2,OK,outputs_sweep50\active_persist_zero_seed2\metrics.csv
zero,active_random,2,OK,outputs_sweep50\active_random_zero_seed2\metrics.csv
wrap,object_off_tracked,2,OK,outputs_sweep50\object_off_tracked_wrap_seed2\metrics.csv
wrap,passive_nopersist,2,OK,outputs_sweep50\passive_nopersist_wrap_seed2\metrics.csv
wrap,passive_persist,2,OK,outputs_sweep50\passive_persist_wrap_seed2\metrics.csv
wrap,active_persist,2,OK,outputs_sweep50\active_persist_wrap_seed2\metrics.csv
wrap,active_random,2,OK,outputs_sweep50\active_random_wrap_seed2\metrics.csv
